i	lep_n	lep_etot	lep_pt_0	lep_pt_1	lep_pt_2	lep_pt_3	lep_pt_4	lep_theta_0	lep_theta_1	lep_theta_2	lep_theta_3	lep_theta_4	lep_phi_0	lep_phi_1	lep_phi_2	lep_phi_3	lep_phi_4	lep_e_0	lep_e_1	lep_e_2	lep_e_3	lep_e_4	jet_DH_n	jet_DH_pt_0	jet_DH_pt_1	jet_DH_pt_2	jet_DH_pt_3	jet_DH_theta_0	jet_DH_theta_1	jet_DH_theta_2	jet_DH_theta_3	jet_DH_phi_0	jet_DH_phi_1	jet_DH_phi_2	jet_DH_phi_3	jet_DH_e_0	jet_DH_e_1	jet_DH_e_2	jet_DH_e_3	jet_KT_R05_n	jet_KT_R05_pt_0	jet_KT_R05_pt_1	jet_KT_R05_pt_2	jet_KT_R05_pt_3	jet_KT_R05_theta_0	jet_KT_R05_theta_1	jet_KT_R05_theta_2	jet_KT_R05_theta_3	jet_KT_R05_phi_0	jet_KT_R05_phi_1	jet_KT_R05_phi_2	jet_KT_R05_phi_3	jet_KT_R05_e_0	jet_KT_R05_e_1	jet_KT_R05_e_2	jet_KT_R05_e_3	jet_KT_R07_n	jet_KT_R07_pt_0	jet_KT_R07_pt_1	jet_KT_R07_pt_2	jet_KT_R07_pt_3	jet_KT_R07_theta_0	jet_KT_R07_theta_1	jet_KT_R07_theta_2	jet_KT_R07_theta_3	jet_KT_R07_phi_0	jet_KT_R07_phi_1	jet_KT_R07_phi_2	jet_KT_R07_phi_3	jet_KT_R07_e_0	jet_KT_R07_e_1	jet_KT_R07_e_2	jet_KT_R07_e_3	
10	2.0	594.788	312.5	12.011	-	-	-	0.569	2.151	-	-	-	2.385	-1.91	-	-	-	580.426	14.362	-	-	-	4.0	19.683	14.986	4.007	126.695	0.799	0.368	3.032	1.272	2.499	-0.019	2.447	-1.224	31.601	51.316	41.88	142.43	4.0	60.759	49.294	9.627	15.782	1.152	1.214	0.582	2.097	-1.114	-1.162	2.4	-1.762	66.632	52.773	17.555	19.051	4.0	60.759	53.723	10.343	15.782	1.152	1.202	0.572	2.097	-1.114	-1.217	2.354	-1.762	66.632	58.792	19.255	19.051	
11	2.0	377.143	100.307	34.305	-	-	-	0.298	1.871	-	-	-	-0.598	2.579	-	-	-	341.235	35.908	-	-	-	4.0	137.861	57.236	6.142	4.393	1.407	2.055	3.023	0.091	2.816	2.832	0.761	1.192	140.158	67.554	62.958	63.246	4.0	5.229	32.919	25.97	137.861	0.937	2.086	1.987	1.407	1.705	3.042	2.564	2.816	6.897	38.65	28.904	140.158	4.0	5.564	32.919	26.727	137.861	0.688	2.086	2.01	1.407	0.565	3.042	2.559	2.816	9.091	38.65	30.225	140.158	
12	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	11.188	47.748	67.741	35.279	2.643	2.609	2.503	0.08	2.078	-0.148	-1.958	-0.323	26.012	97.416	116.323	465.576	4.0	11.136	39.136	39.161	60.569	0.735	2.563	0.108	2.495	2.771	-0.082	-0.363	-1.869	16.857	72.469	363.732	101.265	4.0	13.269	39.892	41.136	60.569	0.707	0.108	2.58	2.495	2.758	-0.353	-0.05	-1.869	21.192	371.47	78.499	101.265	
13	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	6.458	7.692	50.294	36.138	0.607	0.339	1.921	2.91	-0.044	2.113	0.069	-0.078	12.451	27.665	55.1	165.861	4.0	7.086	26.862	17.012	34.637	2.145	1.88	1.883	2.886	-0.056	-0.024	0.262	-0.032	8.644	28.376	18.463	137.021	4.0	6.278	33.945	12.308	34.637	2.264	1.941	1.777	2.886	0.328	-0.031	0.22	-0.032	8.442	37.019	12.831	137.021	
14	1.0	406.637	179.813	-	-	-	-	0.458	-	-	-	-	0.887	-	-	-	-	406.637	-	-	-	-	4.0	2.096	107.221	197.882	24.722	3.06	1.035	0.862	0.562	2.489	2.773	-1.96	0.462	33.395	139.438	262.026	53.779	4.0	14.26	28.939	61.874	192.268	0.437	1.012	1.432	0.873	2.846	2.975	2.668	-1.967	34.104	35.138	62.602	251.047	4.0	14.26	68.524	24.47	192.268	0.437	1.41	0.925	0.873	2.846	2.687	2.947	-1.967	34.104	69.818	31.887	251.047	
15	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	13.768	15.018	40.3	74.88	0.467	0.44	2.627	2.593	1.076	-2.082	-1.194	0.596	35.371	43.767	83.356	150.865	4.0	5.364	6.114	37.979	69.91	0.932	1.074	2.609	2.552	1.416	-2.373	-1.186	0.553	7.028	7.458	75.534	126.404	4.0	7.668	9.05	39.28	75.482	0.984	0.891	2.597	2.536	1.605	-2.343	-1.193	0.539	10.095	12.687	76.98	134.039	
16	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	49.034	48.104	2.921	60.626	0.703	0.175	3.077	0.178	0.427	0.906	0.077	-1.895	76.913	281.958	63.664	348.433	4.0	10.384	32.054	43.375	49.034	0.232	0.138	0.216	0.703	-1.34	0.782	-2.219	0.427	45.292	232.22	202.088	76.913	4.0	11.965	32.054	44.057	50.49	0.215	0.138	0.218	0.693	-1.313	0.782	-2.215	0.404	56.298	232.22	203.941	80.461	
17	1.0	490.261	453.54	-	-	-	-	1.96	-	-	-	-	0.684	-	-	-	-	490.261	-	-	-	-	4.0	59.237	34.969	55.889	8.174	0.563	0.717	0.47	2.952	1.299	-0.127	2.585	-0.012	113.108	60.789	128.545	55.699	4.0	24.876	31.034	18.023	50.427	0.488	0.581	1.209	0.472	1.345	1.247	-0.201	2.47	53.247	56.637	19.293	111.033	4.0	10.137	20.105	52.11	55.844	0.7	1.207	0.471	0.536	0.187	-0.272	2.49	1.29	16.597	22.067	115.031	109.883	
18	1.0	54.458	41.554	-	-	-	-	0.868	-	-	-	-	-2.967	-	-	-	-	54.458	-	-	-	-	4.0	10.153	10.117	70.958	11.62	0.797	0.366	2.875	3.051	0.94	-1.94	0.298	0.871	16.527	33.688	274.319	133.865	4.0	3.662	10.331	50.244	16.101	1.961	2.935	2.89	2.99	0.56	0.296	0.363	0.348	4.139	50.293	201.649	106.494	4.0	6.352	7.28	16.101	62.162	0.884	2.11	2.99	2.896	1.447	0.329	0.348	0.361	8.835	9.235	106.494	255.949	
19	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	9.493	20.656	21.917	72.913	1.612	3.034	0.172	0.18	0.973	2.455	2.778	-0.826	11.838	202.063	131.845	414.675	4.0	4.617	11.569	23.637	58.754	0.736	0.108	3.001	0.165	2.538	2.952	2.255	-0.937	7.162	107.134	169.038	358.786	4.0	7.285	12.05	23.637	58.754	0.529	0.11	3.001	0.165	0.221	2.965	2.255	-0.937	14.94	109.571	169.038	358.786	
20	2.0	764.818	507.272	209.135	-	-	-	1.959	1.305	-	-	-	-0.804	2.452	-	-	-	548.042	216.776	-	-	-	4.0	238.351	0.64	223.911	15.829	1.187	0.025	1.199	2.497	2.2	0.518	2.41	-0.695	258.772	32.404	241.033	36.184	4.0	66.554	170.041	13.457	221.204	1.155	1.203	1.966	1.202	2.205	2.214	-0.819	2.402	72.83	182.378	14.582	237.21	4.0	170.041	71.585	17.136	223.911	1.203	1.095	2.04	1.199	2.214	2.208	-0.918	2.41	182.378	82.246	20.088	241.033	
21	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	10.003	6.485	15.628	37.404	2.375	2.911	0.292	0.406	0.445	-2.547	1.446	-1.689	16.884	34.41	60.56	101.917	4.0	4.029	4.361	4.846	23.241	0.782	0.611	0.87	0.376	0.592	2.713	-1.994	-1.692	5.825	7.76	6.571	63.561	4.0	5.94	7.647	8.093	27.69	0.823	0.872	0.455	0.382	0.764	-2.264	2.841	-1.681	8.497	10.796	18.862	75.289	
22	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	58.338	13.681	4.848	96.213	0.213	0.045	2.953	0.411	2.322	0.688	2.776	0.83	279.359	318.702	34.489	255.229	4.0	23.241	57.188	28.862	50.737	0.449	0.373	0.102	0.194	0.734	1.013	1.033	2.244	53.771	157.12	282.654	262.584	4.0	12.111	29.18	51.139	79.789	1.182	0.103	0.194	0.389	-0.333	1.031	2.239	0.933	14.354	284.596	265.748	210.891	
23	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	73.564	82.369	2.589	7.176	1.305	1.785	0.063	3.037	-1.079	-1.867	-2.856	0.507	76.839	86.786	56.5	82.142	4.0	43.065	30.652	62.658	18.228	1.339	1.257	1.878	1.46	-1.12	-1.02	-1.9	-1.7	44.359	32.564	66.003	18.695	4.0	9.54	18.228	66.094	73.627	0.757	1.46	1.886	1.304	-2.254	-1.7	-1.9	-1.079	14.669	18.695	70.654	76.923	
24	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	16.321	14.286	252.348	5.02	2.53	2.707	1.4	0.122	0.686	-1.399	-1.644	0.665	32.271	37.821	261.542	53.527	4.0	4.821	7.833	27.198	221.111	2.446	2.184	1.563	1.4	-1.323	0.424	-1.379	-1.65	7.747	9.779	27.509	224.669	4.0	9.217	10.0	27.781	221.111	2.563	2.231	1.569	1.4	-1.126	0.262	-1.366	-1.65	17.439	13.424	28.277	224.669	
25	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	5.948	58.961	60.002	22.969	2.603	2.099	0.101	0.527	3.011	-0.205	2.42	0.694	12.901	75.342	599.526	49.631	4.0	5.441	16.974	47.575	57.337	1.505	0.522	2.132	0.099	0.324	0.82	-0.317	2.348	5.606	34.543	56.587	581.122	4.0	12.093	18.457	48.074	57.337	1.608	0.482	2.139	0.099	0.117	0.777	-0.323	2.348	13.478	40.728	57.586	581.122	
26	1.0	428.336	98.822	-	-	-	-	2.909	-	-	-	-	1.799	-	-	-	-	428.336	-	-	-	-	4.0	12.568	41.359	59.619	9.722	0.488	0.647	0.536	3.011	2.677	-1.608	-0.0	1.75	31.068	72.564	118.64	90.76	4.0	7.393	15.019	24.92	50.292	2.931	1.0	0.558	0.532	1.819	-1.31	-1.777	-0.013	35.435	18.707	47.672	99.175	4.0	7.393	17.912	26.335	55.76	2.931	0.954	0.531	0.534	1.819	-1.268	-1.745	0.03	35.435	23.814	52.907	110.171	
27	3.0	19.242	5.77	5.411	5.255	-	-	0.957	1.09	2.097	-	-	-1.913	-1.865	-1.045	-	-	7.059	6.104	6.079	-	-	4.0	17.721	105.723	15.966	104.858	1.835	3.015	0.441	0.833	-0.88	0.289	1.214	-2.049	20.174	850.154	44.79	150.176	4.0	11.054	31.147	64.218	103.541	2.062	1.087	0.916	3.013	-0.933	-2.071	-2.084	0.285	12.679	35.565	81.373	808.842	4.0	31.147	64.218	13.041	103.541	1.087	0.916	2.087	3.013	-2.071	-2.084	-1.01	0.285	35.565	81.373	15.491	808.842	
28	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	10.086	6.659	14.999	96.95	2.409	2.96	0.164	0.561	1.132	-2.054	0.966	-1.267	17.453	42.217	97.502	188.346	4.0	74.327	16.579	5.826	11.098	0.564	0.504	0.992	0.143	-1.371	-1.279	-0.327	0.44	139.112	34.515	7.175	78.027	4.0	4.884	10.334	11.098	91.322	1.127	1.129	0.143	0.549	1.194	-0.282	0.44	-1.359	5.777	12.359	78.027	175.571	
29	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	9.425	151.011	16.814	156.967	0.246	0.279	0.546	2.803	-0.997	-2.974	0.884	0.221	40.614	552.423	37.139	482.651	4.0	76.974	35.685	27.386	157.46	0.286	0.277	0.248	2.788	-3.032	-2.961	-2.887	0.234	272.8	130.648	111.699	455.107	4.0	29.339	113.241	8.818	157.46	0.233	0.283	0.66	2.788	-2.912	-3.007	0.337	0.234	127.0	405.161	14.988	455.107	
30	1.0	448.3	432.218	-	-	-	-	1.302	-	-	-	-	-1.781	-	-	-	-	448.3	-	-	-	-	4.0	215.313	349.546	3.925	3.227	1.724	1.498	0.101	3.09	1.324	1.437	-1.75	-1.198	218.251	355.992	53.366	71.412	4.0	61.636	82.668	200.894	214.735	1.567	1.614	1.449	1.722	1.488	1.532	1.407	1.326	61.735	82.937	202.655	217.411	4.0	8.34	203.506	144.269	215.313	0.998	1.441	1.594	1.724	-0.316	1.402	1.513	1.324	10.56	206.182	144.672	218.251	
31	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	7.99	7.343	30.475	86.304	2.361	2.775	0.285	0.232	0.782	-2.212	-1.993	1.476	13.667	24.714	113.765	384.535	4.0	5.951	25.399	43.086	17.899	0.342	0.213	0.209	0.239	1.747	1.449	1.571	-2.017	17.845	120.47	207.57	75.683	4.0	8.858	10.195	19.142	68.367	0.389	0.706	0.244	0.21	1.806	0.449	-1.98	1.526	23.587	16.581	79.291	328.04	
32	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	10.037	14.425	37.53	44.264	0.813	0.379	2.908	2.971	-2.458	0.611	-3.085	-0.774	15.563	50.347	167.582	264.954	4.0	7.095	18.536	22.192	25.05	1.078	2.913	3.007	2.928	-2.196	-0.628	-1.115	-3.021	8.636	82.049	165.519	118.283	4.0	9.238	18.536	22.192	27.993	0.967	2.913	3.007	2.929	-2.315	-0.628	-1.115	-2.964	12.265	82.049	165.519	133.266	
33	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	26.9	11.996	54.846	3.722	0.504	0.207	1.572	2.977	2.542	-0.139	-1.359	1.559	59.073	66.656	56.102	29.79	4.0	5.255	34.33	17.702	15.789	0.708	1.554	1.676	0.418	2.409	-1.286	-1.411	2.651	8.276	34.426	18.086	39.171	4.0	6.725	15.789	7.881	51.942	1.116	0.418	0.638	1.596	-0.286	2.651	2.23	-1.328	8.12	39.171	13.687	52.511	
34	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	17.39	13.636	64.09	3.799	0.676	0.385	0.178	3.085	-2.157	-1.181	1.575	1.687	28.688	39.613	372.965	79.992	4.0	5.078	7.832	38.353	13.447	0.666	0.154	0.144	0.594	0.619	1.236	1.634	-2.129	8.323	51.128	267.63	24.243	4.0	6.772	7.59	17.962	45.675	0.728	1.878	0.659	0.144	1.959	2.422	-2.157	1.567	10.746	8.883	30.327	318.758	
35	1.0	603.551	124.96	-	-	-	-	0.209	-	-	-	-	2.458	-	-	-	-	603.551	-	-	-	-	4.0	16.334	131.409	15.949	6.579	2.698	2.903	2.844	0.09	0.5	-0.598	2.669	2.441	41.384	560.284	57.971	92.064	4.0	40.912	81.769	5.56	5.997	2.912	2.909	2.246	0.541	-0.498	-0.563	-1.452	-2.9	180.047	354.452	7.578	11.728	4.0	6.027	6.838	10.295	124.163	2.854	2.571	0.605	2.911	2.816	0.237	-3.011	-0.549	21.394	13.148	18.725	543.635	
36	1.0	451.886	82.147	-	-	-	-	2.959	-	-	-	-	2.11	-	-	-	-	451.886	-	-	-	-	4.0	15.741	26.181	37.597	86.197	0.409	0.338	2.361	2.823	2.829	-0.147	-0.474	-1.801	45.305	91.097	54.604	285.128	4.0	17.617	17.066	71.076	14.829	2.358	2.282	2.75	2.693	-0.602	-0.426	-1.786	-1.453	25.037	22.651	186.363	34.379	4.0	14.829	73.535	8.556	37.055	2.693	2.761	0.53	2.362	-1.453	-1.804	0.338	-0.511	34.379	198.152	17.616	53.439	
37	1.0	375.963	199.804	-	-	-	-	0.56	-	-	-	-	0.851	-	-	-	-	375.963	-	-	-	-	4.0	9.716	33.14	136.413	4.153	0.394	0.543	0.583	2.995	-1.964	0.146	2.291	1.859	26.541	73.163	249.415	48.299	4.0	43.121	86.186	11.713	14.557	0.592	0.581	0.558	0.984	2.236	2.327	0.827	-0.563	77.473	157.073	22.142	17.95	4.0	86.186	47.559	15.924	17.087	0.581	0.577	0.591	1.029	2.327	2.185	0.681	-0.469	157.073	87.749	29.104	21.072	
38	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	21.899	13.066	31.236	9.223	0.26	0.352	0.343	3.042	0.906	-2.607	-0.234	-3.004	87.496	41.458	101.081	112.128	4.0	5.212	7.032	10.82	14.771	1.865	1.413	0.26	0.206	-1.334	-0.307	0.044	0.753	5.893	7.48	42.162	72.286	4.0	5.682	10.82	12.737	17.691	1.815	0.26	1.103	0.227	-1.392	0.044	-0.325	0.739	6.483	42.162	15.618	79.108	
39	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	10.975	6.62	38.184	55.276	0.83	0.231	2.884	3.003	0.976	-1.662	-2.206	1.948	18.495	34.943	152.418	406.462	4.0	5.239	28.077	5.905	44.324	2.923	2.896	2.98	3.009	-2.027	-2.411	2.391	1.968	24.182	115.504	36.704	334.223	4.0	7.513	44.324	7.303	32.992	2.979	3.009	0.975	2.903	2.538	1.968	-2.386	-2.352	46.479	334.223	9.506	139.685	
40	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	9.565	8.251	110.426	18.266	0.685	0.496	2.612	2.901	-1.45	2.092	0.547	-1.65	17.183	21.637	221.643	84.316	4.0	4.432	49.02	53.191	10.855	2.206	2.626	2.579	2.731	-2.535	0.537	0.531	-1.375	5.808	99.546	100.036	27.333	4.0	4.915	53.191	52.607	12.956	0.842	2.579	2.654	2.728	-2.101	0.531	0.55	-1.29	6.99	100.036	112.776	32.532	
41	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	44.71	18.875	75.041	5.319	2.297	2.764	2.305	0.108	0.179	-0.731	1.028	0.064	60.891	55.017	106.29	65.303	4.0	34.12	10.002	17.489	68.971	2.277	2.395	2.727	2.222	0.248	-0.031	-0.383	0.991	45.078	14.982	43.47	87.157	4.0	6.672	17.489	49.167	68.971	0.54	2.727	2.354	2.222	0.48	-0.383	0.208	0.991	13.391	43.47	71.336	87.157	
42	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	13.648	67.915	11.32	24.731	1.258	1.076	0.524	2.599	1.69	0.324	-2.782	-0.844	20.258	86.341	26.963	55.464	4.0	8.664	8.942	15.907	59.016	1.003	2.015	2.566	1.122	1.179	-1.232	-0.621	0.37	10.817	10.219	29.568	66.283	4.0	8.942	9.557	18.111	62.576	2.015	0.899	2.566	1.119	-1.232	-2.315	-0.53	0.407	10.219	13.28	34.005	71.011	
43	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	451.348	8.557	19.11	78.548	0.806	0.217	2.72	2.268	0.876	-0.685	-1.299	1.779	628.713	49.952	48.613	109.823	4.0	9.643	62.621	12.595	443.736	1.922	2.251	2.788	0.802	1.557	1.686	-1.241	0.879	10.535	80.8	36.504	617.77	4.0	30.714	45.953	14.029	445.872	2.314	2.145	2.791	0.801	1.743	1.613	-1.217	0.876	42.216	56.48	41.176	621.178	
44	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	17.204	13.578	127.467	21.306	0.553	0.396	2.662	3.024	-1.567	1.442	0.996	-1.123	36.651	43.29	280.552	193.785	4.0	6.99	8.779	11.06	116.811	0.413	2.882	3.001	2.674	-1.47	-1.23	-0.21	1.045	17.575	34.187	78.871	259.255	4.0	8.199	13.756	15.973	122.053	0.372	2.839	2.983	2.678	-1.401	-1.201	-0.311	1.02	22.918	46.488	101.146	273.749	
45	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	17.07	46.394	24.878	6.569	2.953	2.955	1.617	0.166	2.16	-0.416	-2.458	0.968	95.035	255.219	27.251	53.304	4.0	4.585	5.125	17.976	36.282	1.917	3.044	1.648	2.983	0.231	2.351	-2.413	-0.439	5.136	52.595	18.077	230.227	4.0	7.29	8.292	17.976	36.622	0.847	2.233	1.648	2.985	0.404	0.207	-2.413	-0.452	10.357	11.468	18.077	234.458	
46	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	13.123	19.5	170.741	45.646	2.888	2.707	0.345	0.164	-1.581	-0.207	-2.725	1.52	59.033	50.7	509.735	287.406	4.0	29.571	6.852	22.73	164.052	0.136	0.176	2.773	0.341	1.682	1.394	-0.739	-2.762	217.871	39.235	63.248	490.012	4.0	6.804	24.159	36.193	164.676	0.976	2.767	0.141	0.342	1.366	-0.763	1.628	-2.762	8.883	66.277	257.105	491.287	
